T0,T30,T60,T90,T120
-0.1286,0.6346,-0.5532,0.401,0.1813
-0.2375,0.6397,-0.529,0.4561,0.0056
-0.1375,-0.2002,0.255,-0.5366,0.4885
-0.0002,-0.0002,0.0011,0.0,0.0036
0.0206,-0.0224,0.1298,0.0266,-0.1428
-0.2034,0.1344,-0.5172,0.3379,0.2486
0.0006,-0.000599999999999,0.000900000000001,0.0,-0.0003
-0.1876,0.0072,0.0535,-0.2952,0.4253
-0.0766,-0.1429,0.725,0.4694,-0.5017
-0.1073,0.078,-0.2,0.1517,0.0842
0.011,-0.1568,-0.2047,0.0696,0.2732
0.033,-0.0238,0.4836,-0.0717,-0.4598
0.0143,0.5636,-0.2909,0.245,-0.5071
-0.1396,0.0584,-0.0335,0.1711,-0.0396
-0.0345,0.0301,-0.174,0.113,0.0125
-0.01,0.0109,-0.0617,0.0646,0.0288
0.0004,0.0332,0.3165,0.0464,-0.381
-0.265,0.1918,-0.0306,0.4096,-0.1419
0.0,0.004,-0.0042,-0.002,0.0015
-0.0935,0.3646,-0.5064,0.2439,0.0069
-0.0067,-0.0355,-0.0211,-0.134,0.2641
-0.0971,0.5002,-0.5352,0.1925,0.2531
-0.1287,0.1485,-0.2315,0.0949,0.0951
0.0771,-0.2582,-0.1052,0.0806,0.2575
-0.1533,0.2854,-0.5564,0.3681,0.0977
-0.0074,0.0403,-0.2975,0.1532,0.0609
0.0,0.0,0.0047,0.0005,-0.0002
0.0011,-0.0007,-0.0043,0.0079,-0.007
0.000999999999999,-0.0027,0.0052,-0.003,0.0031
0.0301,-0.1458,0.061,0.4339,-0.389
-0.0157,0.1173,0.0233,-0.0572,-0.0585
-0.0873,0.0744,-0.2573,0.3526,-0.0845
-0.000699999999999,-0.0002,0.0007,-9.99999999998e-05,0.0009
-0.0992,0.033,-0.0891,0.0354,0.1097
-0.0116,0.012,-0.0134,0.1483,-0.1324
-0.1681,0.1971,-0.1593,0.0147,0.0994
0.0043,-0.0965,-0.0096,-0.1348,0.2436
-0.1307,0.0757,0.0099,-0.2456,0.3341
0.0458,-0.0838,-0.0007,0.0924,0.0034
-0.0286,0.0905,-0.2135,0.1778,-0.0047
0.0017,-0.0035,9.99999999998e-05,0.0096,-0.0126
-0.0057,0.0198,-0.0697,0.0816,-0.0288
-0.0956,0.0185,-0.0736,0.158,0.0088
-0.2436,-0.1591,0.3605,-0.2039,0.5064
0.0046,-0.0035,0.0049,-0.0014,0.000500000000001
0.0,-0.0019,0.0009,-0.0002,0.0009
0.0384,-0.1031,-0.0135,0.1236,-0.0413
-0.0009,0.002,-0.0023,0.0025,0.0016
-9.99999999998e-05,-0.000999999999999,9.99999999998e-05,0.0029,0.001
-0.1215,0.2897,-0.0588,-0.4151,0.3275
-0.2339,0.0288,0.0426,0.1981,0.0201
-0.1821,-0.0191,0.0074,0.1798,0.0123
-0.0689,0.0187,0.0391,-0.1055,0.147
-0.0288,-0.0992,0.0563,0.1013,-0.1782
0.0211,0.0036,-0.0075,-0.1172,0.1104
0.0069,-0.0095,0.0321,-0.0458,0.0168
-0.0084,-0.0104,0.0794,-0.1647,0.1063
0.0,0.0021,0.0013,0.000299999999999,-0.0003
0.0114,0.0478,-0.0875,0.0674,-0.0841
-0.0362,0.0406,-0.0406,0.3303,-0.3304
-0.232,0.2122,-0.4998,0.1667,0.3593
0.0002,-0.0016,-0.0027,-0.0042,-0.0015
0.0975,-0.3052,-0.3779,0.1848,0.4345
-0.0258,0.06,-0.1162,0.0786,0.0021
-0.0047,-0.1112,0.0203,0.0154,0.0659
-0.194,0.0655,-0.2249,0.5227,-0.3064
0.0,0.0004,0.0002,-0.0077,0.0018
-0.0416,-0.0148,0.0526,-0.004,0.0087
0.0462,-0.2474,0.1675,0.1513,-0.1161
-0.1785,0.2622,-0.4707,0.3772,-0.0059
0.005,-0.0104,0.0008,0.0222,0.0022
-0.024,-0.2259,0.2243,0.5136,-0.4929
0.1862,0.2998,0.1903,-0.3755,-0.3003
-0.0105,0.0391,-0.0097,0.0539,-0.0735
-0.1055,-0.0326,-0.4715,0.2807,0.3387
0.0408,-0.1502,0.0004,0.3608,-0.307
-0.0583,0.1112,-0.2552,0.1752,0.0616
0.0149,0.0595,-0.0874,-0.04,0.0694
-0.1169,-0.012,-0.0385,-0.1278,0.2191
-0.0316,0.0111,0.3354,-0.0545,-0.2134
-9.99999999998e-05,-0.0165,-0.0019,-0.0344,0.0693
-0.1474,-0.02,-0.1761,0.0548,0.3084
-0.0013,0.0054,-0.0032,0.007,-0.0081
0.002,-0.0285,0.171,-0.2414,0.1073
-0.1281,0.0938,-0.1093,0.1255,-0.0231
0.0277,-0.0087,0.0029,-0.0352,0.0242
0.0246,0.0131,0.0438,0.0164,-0.1045
-0.0602,0.0115,-0.0155,-0.0807,0.1403
-0.0183,0.0625,-0.1006,0.1025,-0.0214
0.0088,0.0562,-0.114,0.1285,-0.0891
0.0048,-0.0322,0.0696,-0.019,-0.0447
-0.1225,-0.0653,-0.0648,0.2948,-0.0032
0.0266,0.019,0.0256,-0.0257,-0.038
-0.2183,0.5695,-0.4601,0.4005,-0.0839
0.0129,0.1014,-0.1997,-0.0729,0.1667
0.0017,-0.2476,0.0046,0.123,0.1219
-0.0439,-0.1242,0.0652,-0.0368,0.0844
-0.000900000000001,0.0014,0.0019,0.0,0.0023
0.0134,-0.0233,-0.0279,0.0046,0.0374
0.0,-0.0008,-0.000699999999999,-0.0014,0.0004
-0.1233,-0.6693,0.5049,-0.3097,0.5855
-0.082,0.3026,-0.6324,0.4419,0.0759
-0.000100000000001,0.003,0.0044,-0.0014,-0.0008
-0.1945,0.1312,-0.5436,-0.4986,0.5536
-0.0005,-0.0023,0.001,0.000599999999999,0.0
0.1749,-0.1189,0.381,-0.2433,-0.0978
-0.0509,-0.0011,0.0209,-0.1301,0.1618
0.0,-0.0016,-0.0004,-0.0026,0.0002
-0.2341,-0.3908,-0.0096,0.4172,0.5843
0.000599999999999,0.0002,0.0004,-0.0058,0.0032
-0.0029,0.0731,-0.126,0.1704,-0.0891
0.0097,-0.0351,0.0335,-0.0456,0.0339
0.0545,-0.0766,-0.0159,0.0991,-0.1322
0.0301,0.0287,0.05,0.0458,-0.1205
-0.137,0.0338,-0.0046,-0.1195,0.2132
-0.0961,0.1174,-0.1809,0.1196,0.0526
-0.2147,-0.0464,0.1531,-0.2527,0.3811
-0.0015,9.99999999998e-05,0.0024,-0.0008,-0.0005
0.1684,-0.1763,-0.1247,0.3517,-0.1979
-0.0059,0.1061,-0.318,0.0817,0.1373
0.1058,-0.4532,0.4037,-0.2299,0.2961
0.0061,-0.3773,0.0023,-0.0888,0.4449
-0.181,0.0653,-0.5126,0.491,-0.0373
-0.0684,0.2039,-0.3655,0.1446,0.0531
0.002,-0.0057,0.0065,-0.0059,0.0066
0.0,-0.000500000000001,-0.0013,-0.0008,0.0008
-0.0288,0.2649,-0.7202,0.6065,0.072
-0.0126,0.0288,-0.0055,-0.0594,0.0638
-0.0015,0.0137,-0.0229,0.0303,-0.0094
-0.1846,0.0807,-0.2112,-0.0492,0.3402
0.0805,0.0671,-0.328,0.1721,-0.0057
-0.000599999999999,-0.0087,0.0061,-0.0174,0.0127
-0.0091,0.1596,-0.1791,-0.172,0.2264
0.0631,-0.0354,0.1641,-0.2031,-0.0194
-0.002,0.0075,-0.1266,0.1378,-0.0151
-0.0632,0.0929,-0.1553,0.0742,0.0891
-0.1671,0.6437,-0.2564,-0.2419,-0.0481
-0.0192,-0.0112,0.0538,0.2935,-0.3239
-0.0013,0.0551,-0.0444,-0.0881,0.0696
0.0947,0.3748,-0.336,-0.2597,0.161
-0.0421,0.13,-0.2362,0.2652,-0.1101
0.0968,-0.1165,-0.1409,-0.1274,0.3782
-0.0213,0.0599,0.0414,0.0211,-0.0924
-0.1697,0.0557,-0.3979,0.4706,0.008
-0.0064,0.0179,-0.0197,0.0202,-0.016
-0.2199,0.1923,-0.3154,0.2382,0.1186
0.0037,-0.0492,-0.4831,0.3305,0.1958
-0.000299999999999,0.0002,-0.0022,-0.0021,0.0009
-0.0648,-0.0132,0.0321,0.0048,0.0353
-0.0672,-0.6484,0.4721,0.025,0.2283
-0.1816,0.7178,-0.4841,0.1979,0.1651
-0.0537,0.0709,-0.1585,-0.1452,0.2903
-0.0002,-0.000299999999999,-0.0016,-0.0026,-0.0012
-0.0137,0.1554,-0.2116,-0.1564,0.2105
-0.1289,0.2224,-0.3371,0.2291,0.2188
-0.0705,-0.0379,-0.4937,0.385,0.2607
-0.24,-0.1706,0.1623,-0.0169,0.2301
-0.0203,-0.0492,0.0802,-0.0756,0.0056
0.0,-0.0026,-0.0035,0.0171,0.0109
-0.0175,-0.0352,0.0157,0.2478,-0.2044
-0.0023,0.0027,0.0165,-0.0325,0.0187
-0.0029,-0.0101,-0.1436,0.1445,0.0393
0.0145,0.0088,-0.0388,0.0309,0.0012
-0.1525,-0.2166,-0.3675,0.2172,0.5065
-0.0478,0.1042,-0.2503,0.2362,-0.053
-0.058,-0.0003,0.1397,-0.0335,-0.0852
0.0138,-0.0136,0.0064,-0.000300000000001,-0.0059
-0.0247,0.076,-0.1636,0.1215,0.004
0.0156,0.285,-0.127,-0.2135,-0.0318
-0.1712,-0.0535,0.0978,0.0691,0.0341
-0.0487,-0.0216,0.2503,0.1504,-0.3129
-0.037,0.1563,0.0309,-0.054,-0.1166
-0.0779,-0.0708,-0.0501,0.0481,0.219
0.000500000000001,-0.0019,0.0015,0.003,0.0084
-0.118,0.0383,-0.2791,-0.0494,0.3388
0.0565,0.0718,-0.1243,0.1545,-0.127
-0.0125,0.0311,-0.0399,0.028,-0.0114
-0.0211,0.1283,-0.0538,-0.1344,0.1095
0.0006,0.0206,-0.0187,0.0547,-0.0463
0.0002,0.0322,-0.1736,0.2054,-0.0192
-0.0029,0.0037,0.0216,-0.059,0.0334
-0.0645,-0.1212,0.0247,-0.0436,0.1199
-0.1077,0.2295,-0.4869,0.4953,-0.1633
0.0129,-0.0586,0.1422,-0.2111,0.1243
-0.0023,0.0181,-0.0372,0.039,-0.0012
0.0159,0.083,-0.1551,0.1171,-0.0702
-0.0018,-0.0004,0.000500000000001,0.0015,0.0011
-0.0486,0.05,-0.1638,0.1791,-0.0242
0.0019,-0.0069,0.0291,-0.0784,0.0463
0.000500000000001,-0.000900000000001,9.99999999998e-05,-0.0113,-0.0091
-0.2186,-0.2225,0.5063,0.1668,-0.529
0.0016,-0.0043,0.0032,0.02,-0.0122
0.1001,-0.1115,0.2523,-0.3206,0.2792
0.0558,-0.2079,0.3185,-0.3295,0.2102
-0.2019,-0.1623,0.0189,0.0975,0.1821
0.0,0.0035,-0.0198,-0.0372,0.0485
0.0162,0.0,0.0261,-0.0249,-0.0194
-0.0007,0.003,0.0014,0.0009,0.0064
0.0026,-0.0046,0.0044,-0.0142,0.0003
-0.0004,0.0222,-0.0464,0.0619,-0.0513
0.013,-0.0112,-0.1422,0.2875,-0.1532
-0.0342,0.0592,-0.0838,0.1163,-0.0505
-0.007,0.0113,-0.0167,0.0206,0.0114
-0.0289,0.1346,-0.1861,0.2643,-0.1439
0.0367,-0.1152,0.0516,-0.1327,0.1726
0.0025,0.0339,0.0039,-0.0011,-0.0225
-0.1527,-0.5431,-0.0727,0.3142,0.4511
-9.99999999998e-05,0.002,0.002,0.0005,-0.0081
-0.001,0.0004,-0.0019,-0.0021,0.0
0.0,-9.99999999998e-05,-0.0008,-0.0014,0.0023
0.0,0.0039,0.0077,-0.0055,-0.0004
-0.0434,0.0379,-0.0126,0.1729,-0.2411
-0.1043,-0.4009,0.0471,0.0627,0.3875
-0.0313,0.0517,-0.2747,0.2951,-0.0259
0.0019,-0.028,0.1389,0.0558,-0.1277
-0.219,0.2354,-0.1829,0.0026,0.2031
-0.1326,0.3738,-0.5165,0.4931,-0.2044
-0.1,0.1722,-0.3138,0.4359,-0.2088
-0.2394,0.2507,-0.5289,0.5007,-0.0443
0.0027,-0.0063,-0.0004,-0.004,0.0101
0.0123,0.0242,-0.2188,0.2281,-0.0089
-0.0849,0.084,-0.1083,-0.1799,0.3215
-0.258,0.2374,-0.397,0.2445,0.2238
-0.005,0.1388,-0.0048,0.0232,-0.1486
-0.0195,0.0285,-0.0903,0.0782,0.0049
0.0076,-0.2009,0.2784,0.2566,-0.3233
-9.99999999998e-05,-0.0003,0.0014,-0.0011,0.0009
-0.0533,0.1686,0.1025,-0.5322,0.3159
9.99999999998e-05,-0.0002,0.0,-0.0007,-0.0025
-0.0518,-0.2625,-0.1682,0.2999,0.2026
0.0,-0.0008,-0.0036,0.0022,0.0022
0.0043,0.0972,-0.1731,0.1026,-0.0201
-0.0153,-0.2176,-0.0692,0.0244,0.1488
-0.0174,0.1776,-0.2566,0.1743,-0.1239
-0.2199,-0.3358,-0.0429,0.338,0.3469
0.0105,-0.0124,0.0091,0.0264,0.0018
-0.0891,-0.2748,-0.0589,0.2369,0.1425
-0.002,0.0035,-0.000499999999999,0.0005,0.0003
0.0434,-0.0636,0.1767,-0.165,0.0246
-0.0088,0.0495,-0.1366,-0.0728,0.1684
-0.000500000000001,-0.000200000000001,0.0007,-0.0038,0.0016
0.1195,-0.4887,-0.0546,0.4695,0.013
-0.2084,-0.1243,0.5545,-0.8833,0.4668
0.0348,0.0051,0.0147,-0.0034,-0.0443
-0.0125,0.1007,-0.0107,-0.0769,-0.0048
-0.0104,-0.0171,0.0909,0.0372,-0.1272
0.0646,-0.1924,-0.1957,0.0586,0.2968
-0.1001,-0.0285,-0.1769,0.0942,0.1956
-0.1238,0.5161,-0.5647,-0.0134,0.4688
0.0016,0.0188,-0.0155,-0.0491,0.037
0.003,-0.0255,0.0857,-0.1403,0.0783
-0.0016,-0.0196,-0.005,-0.0053,0.0058
-0.173,-0.3645,-0.3945,-0.2271,0.4891
-0.005,-0.0002,-0.0105,0.0016,0.0058
-0.0634,-0.0194,-0.0259,0.0386,0.0552
-0.0341,0.1016,-0.2069,-0.1298,0.2467
-0.1085,0.0167,0.0355,0.0659,-0.1262
-0.1937,-0.3311,0.2755,0.0227,-0.0995
-0.255,0.0953,-0.1524,0.4034,0.1996
0.0387,-0.0068,-0.0068,0.0053,0.0134
0.049,0.2474,0.2752,-0.1597,-0.4228
-0.0561,0.14,-0.0065,-0.2992,0.175
0.0016,0.0674,-0.193,0.2046,-0.0877
0.0,-0.0007,-0.0053,-0.0109,-0.0044
-0.1478,0.0882,-0.2503,-0.1237,0.3663
-0.0009,-0.000500000000001,0.0008,-0.0024,0.0008
0.0076,0.001,0.0198,-0.0051,-0.0076
0.0448,0.0207,-0.0611,-0.345,0.4227
0.0015,0.0043,-0.0032,-0.0025,-0.0009
-0.0349,0.0686,-0.1597,0.0697,0.027
0.1269,0.4885,-0.2528,0.1661,-0.4888
-0.0188,-0.0078,-0.0691,0.0051,0.087
-0.1657,0.0617,0.0335,-0.1667,0.2892
0.0044,-0.063,0.0649,-0.062,0.0705
-0.0424,-0.0047,-0.1971,0.2389,0.0022
0.0006,-0.000900000000001,-0.003,0.0106,-0.0046
0.0015,-0.0433,0.0207,0.1179,-0.0955
-0.2083,0.0287,-0.2629,0.3068,0.063
-0.0567,0.0621,-0.1843,-0.0153,0.2305
-0.1041,-0.2301,-0.0864,-0.1167,0.5468
0.0002,-9.99999999998e-05,0.0053,0.0014,0.0013
0.0224,-0.1242,-0.1588,-0.0103,0.297
0.1464,-0.5342,0.0237,-0.2856,0.4955
-0.0023,0.0111,-0.0572,0.0023,0.0495
-0.2145,-0.3917,-0.493,0.4001,0.7918
-0.0002,-0.000100000000001,-0.0013,0.001,-0.0024
0.0038,-0.0114,0.0521,-0.1025,0.0662
-0.2543,-0.0807,0.1874,-0.4928,0.5697
0.0193,-0.0044,-0.0053,0.0573,-0.0465
-0.0111,-0.0476,0.1352,-0.2166,0.1435
-0.0212,-0.0851,0.1376,-0.1398,0.1137
-0.1017,0.1707,-0.5082,0.3807,0.3411
-9.99999999998e-05,-0.0015,-0.0011,-0.0014,-0.0025
-0.0356,-0.0349,0.0412,-0.0117,0.0368
-0.0194,0.0345,-0.0607,0.0375,-0.0009
-0.0004,-0.0008,0.0003,0.001,-0.0018
-0.1147,-0.0261,-0.0135,0.0124,0.1161
-0.1895,0.4701,-0.5669,0.5209,-0.3418
-0.0312,0.0694,-0.0693,0.079,-0.0281
0.0079,-0.002,0.0157,-0.0208,0.012
0.0137,-0.0072,-0.025,-0.0014,0.0216
0.0071,0.0504,-0.0495,0.0473,-0.0264
0.0177,-0.2962,-0.1038,0.1319,0.2508
-0.041,-0.0064,0.0411,-0.0173,-0.0382
0.0,-0.0003,0.0008,-0.0016,0.0011
-0.0059,0.0033,-0.0059,0.0159,-0.0026
-0.0656,0.0284,-0.1908,0.2165,-0.0007
-0.0108,-0.000299999999999,-0.0384,0.0316,0.0507
0.0003,0.0025,-0.0029,-0.0027,-9.99999999998e-05
0.2162,0.3082,-0.5312,0.2584,0.3551
-0.2008,0.2559,-0.1932,-0.1267,0.2009
-0.0634,-0.1003,-0.0604,0.4021,-0.1006
-0.0078,0.2248,0.1292,-0.3507,0.0274
0.0059,0.0217,0.032,-0.0645,-0.0151
-0.0183,0.0113,0.0043,-0.0229,0.0243
-0.0263,0.0913,-0.0558,-0.0938,0.0887
0.0472,0.2219,-0.2855,-0.0464,0.0371
-9.99999999998e-05,0.0007,0.0132,0.0159,-0.0031
-0.27,0.34,0.4448,0.0073,-0.0057
-0.0084,0.0821,-0.1236,0.3018,-0.2374
0.0132,-0.0159,0.0246,-0.0718,0.054
-0.0124,-0.0845,0.0358,-0.1418,0.186
-0.2267,0.5059,-0.1447,-0.4064,0.4751
-0.0501,0.0311,-0.2397,0.0584,0.151
-0.2063,0.666,-0.7878,0.5683,0.43
0.0,0.0,0.0003,-0.0004,0.0038
-0.057,-0.0336,0.0121,-0.1803,0.2895
-0.045,-0.0554,0.0265,-0.018,0.0801
0.0059,0.1871,-0.1081,0.0484,-0.1416
0.0105,0.0028,-0.0122,0.0454,-0.0201
-0.0011,-0.0084,0.0137,0.0065,0.0009
-0.0603,0.0575,0.3734,-0.2001,-0.2061
-0.0062,0.0015,-0.0189,0.0205,-0.0007
-0.0089,0.011,-0.0258,-0.0535,0.0671
0.014,-0.0038,0.0071,-0.0204,0.0041
0.0004,0.0041,0.0013,0.0039,-0.0039
-0.1183,-0.121,-0.1189,-0.1093,0.4472
-0.0082,0.058,-0.2401,0.0683,0.1254
9.99999999998e-05,-0.0082,0.0002,-0.0019,-0.0005
0.0088,-0.0675,0.171,-0.1786,0.0693
0.0184,-0.0383,-0.0234,0.0019,0.0545
0.2002,-0.4267,0.5256,-0.5018,0.4086
-0.1823,0.572,-0.4921,0.1305,-0.4864
0.0229,0.0328,-0.1064,0.2123,-0.1454
0.1188,0.0857,-0.1921,0.227,-0.3452
-0.0788,-0.0632,-0.0504,0.1619,0.0822
-0.037,0.0471,-0.0593,-0.0878,0.1607
0.0,0.0016,-0.0012,-0.0039,-0.0013
-0.000500000000001,-0.0088,0.0091,-0.0049,0.0059
-0.0638,0.2443,-0.4521,0.2159,0.0686
0.1726,-0.0036,0.3025,-0.1459,-0.3698
-0.006,-0.0174,-0.2363,-0.0788,0.3207
-0.0024,-0.1703,-0.2901,-0.3592,0.4886
0.0,-0.000399999999999,-0.0006,0.000599999999999,0.0008
-0.2196,-0.5629,0.3179,0.4276,0.824
0.0184,0.0596,-0.0911,0.1139,-0.1027
0.0665,0.0115,0.1212,-0.0334,-0.1602
-0.0017,-0.0011,-0.0254,-0.007,0.0377
0.0904,-0.0693,0.2007,0.015,-0.2333
-0.0281,-0.0016,0.012,0.0082,0.0257
-0.0829,0.3428,-0.1701,0.1798,-0.3206
-0.0077,-0.4112,0.1862,0.0144,0.302
-0.24,0.1414,-0.0224,0.4324,0.0366
-0.01,0.0179,-0.0408,0.054,-0.0269
0.0636,-0.0103,0.0604,-0.0446,-0.0684
0.0686,0.0149,0.0673,0.1799,-0.3067
-0.0393,0.1651,0.1029,-0.0561,-0.1804
-9.99999999998e-05,-0.0027,-0.0002,0.0096,0.0039
-0.1619,-0.0013,0.0707,-0.3315,0.4065
-0.0141,-0.0209,0.3134,-0.0135,-0.2735
0.0002,-0.0007,0.0061,-0.0054,9.99999999998e-05
-0.0005,0.002,0.0019,-0.0061,-0.0047
0.0023,0.0006,-0.0021,0.0016,0.0004
0.0008,-0.0292,-0.0454,0.0247,0.0483
-0.077,0.144,-0.1781,0.2317,-0.0793
0.0428,0.0368,-0.2598,-0.2795,0.4339
0.0266,-0.2776,0.0226,0.1173,0.1521
-0.0388,0.015,-0.0408,0.0823,-0.0127
-0.0114,0.0699,-0.1064,0.0566,0.014
-0.0208,0.0214,0.0416,-0.1816,0.1495
-0.0008,0.1771,0.2929,-0.5263,0.5029
-0.000500000000001,-0.0057,0.000100000000002,0.0017,0.002
0.1772,-0.2414,-0.468,0.297,0.189
-0.2302,-0.0119,-0.03,-0.0251,0.2296
-0.1662,-0.1451,-0.1078,0.3785,0.0953
-0.0871,-0.049,-0.3975,0.3804,0.1794
-0.22,0.6655,-0.4741,-0.2261,0.4894
0.0025,-0.0065,0.0054,0.0164,-0.0081
-0.0267,0.1207,-0.0384,-0.2457,0.1913
-0.0013,0.0025,-0.0125,-0.0032,0.0106
-0.0894,0.2506,-0.3706,0.1547,0.0594
-0.0245,0.0399,-0.078,0.163,-0.1084
-0.0129,0.0026,0.008,0.0011,0.0033
0.0006,-0.0011,-0.0029,0.0074,-0.0062
-0.0321,-0.006,-0.0172,-0.0466,0.003
-0.142,0.0851,-0.3283,0.4811,-0.1022
-0.0826,-0.021,0.0736,-0.2771,0.3023
-0.0108,-0.000500000000001,0.0024,-0.0239,0.0276
-0.0757,0.0169,0.4864,0.5374,-0.5144
-0.1476,0.0551,-0.000599999999999,-0.2625,0.3417
-0.0067,0.0143,-0.0448,0.1426,-0.1073
-0.0105,-0.0196,-0.0084,0.0399,-0.0327
-0.0046,0.0523,-0.1348,0.202,-0.1182
9.99999999998e-05,-0.0008,-0.0025,0.0038,0.0049
-0.0979,-0.0502,0.0891,0.0056,0.0451
0.0007,-0.007,0.0166,-0.0235,0.0331
0.0282,-0.1555,-0.0648,0.1983,0.0348
